# Tessera TSV interconnect transfer function (single signal line, center signal + ground ring).
# geometry: radius=5um pitch=60um height=100um liner=0.5um. See README.md for provenance/caveats.
# columns: freq_hz, s21_re, s21_im, s21_abs_db, s21_phase_deg, s11_re, s11_im, s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
1.275000e+10,2.66243480e-01,-3.43712079e-01,-7.2348,-52.2382,-7.11935928e-01,-5.51474070e-01,-0.9099
1.300000e+10,2.69673708e-01,-3.60007845e-01,-6.9394,-53.1640,-7.14815645e-01,-5.35452179e-01,-0.9818
1.325000e+10,2.72534779e-01,-3.75496521e-01,-6.6701,-54.0279,-7.16919901e-01,-5.20339325e-01,-1.0528
1.350000e+10,2.74887511e-01,-3.90385566e-01,-6.4213,-54.8490,-7.18421551e-01,-5.05871962e-01,-1.1236
1.375000e+10,2.76774614e-01,-4.04774625e-01,-6.1898,-55.6367,-7.19420842e-01,-4.91921710e-01,-1.1944
1.400000e+10,2.78231704e-01,-4.18699169e-01,-5.9736,-56.3954,-7.19982293e-01,-4.78438734e-01,-1.2652
1.425000e+10,2.79293645e-01,-4.32146568e-01,-5.7715,-57.1257,-7.20152309e-01,-4.65429968e-01,-1.3357
1.450000e+10,2.80000438e-01,-4.45075994e-01,-5.5832,-57.8257,-7.19968661e-01,-4.52937349e-01,-1.4056
1.475000e+10,2.80393455e-01,-4.57450294e-01,-5.4079,-58.4938,-7.19471210e-01,-4.40998772e-01,-1.4745
1.500000e+10,2.80517781e-01,-4.69225206e-01,-5.2453,-59.1277,-7.18699262e-01,-4.29661322e-01,-1.5420
1.525000e+10,2.80418348e-01,-4.80371797e-01,-5.0949,-59.7256,-7.17693907e-01,-4.18955777e-01,-1.6077
1.550000e+10,2.80138678e-01,-4.90867388e-01,-4.9563,-60.2865,-7.16496802e-01,-4.08905687e-01,-1.6713
1.575000e+10,2.79721716e-01,-5.00695019e-01,-4.8288,-60.8094,-7.15147885e-01,-3.99529427e-01,-1.7324
1.600000e+10,2.79206119e-01,-5.09849183e-01,-4.7121,-61.2938,-7.13686112e-01,-3.90832301e-01,-1.7908
1.625000e+10,2.78629377e-01,-5.18323723e-01,-4.6056,-61.7394,-7.12147607e-01,-3.82821073e-01,-1.8462
1.650000e+10,2.78025494e-01,-5.26120452e-01,-4.5087,-62.1460,-7.10565314e-01,-3.75494379e-01,-1.8984
1.675000e+10,2.77424318e-01,-5.33237949e-01,-4.4212,-62.5137,-7.08971822e-01,-3.68852263e-01,-1.9471
1.700000e+10,2.76858557e-01,-5.39669638e-01,-4.3428,-62.8415,-7.07394386e-01,-3.62903850e-01,-1.9921
1.725000e+10,2.76356216e-01,-5.45410102e-01,-4.2731,-63.1289,-7.05859678e-01,-3.57655109e-01,-2.0332
1.750000e+10,2.75944829e-01,-5.50451550e-01,-4.2120,-63.3751,-7.04391115e-01,-3.53115703e-01,-2.0701
1.775000e+10,2.75652344e-01,-5.54776314e-01,-4.1594,-63.5785,-7.03010977e-01,-3.49305872e-01,-2.1025
1.800000e+10,2.75505105e-01,-5.58367958e-01,-4.1153,-63.7377,-7.01737990e-01,-3.46245510e-01,-2.1302
1.825000e+10,2.75526876e-01,-5.61208267e-01,-4.0797,-63.8511,-7.00588634e-01,-3.43956083e-01,-2.1529
1.850000e+10,2.75740184e-01,-5.63275019e-01,-4.0526,-63.9169,-6.99576390e-01,-3.42463834e-01,-2.1703
1.875000e+10,2.76163951e-01,-5.64549428e-01,-4.0342,-63.9332,-6.98709964e-01,-3.41792046e-01,-2.1823
1.900000e+10,2.76811559e-01,-5.65016787e-01,-4.0245,-63.8990,-6.97993728e-01,-3.41959278e-01,-2.1887
1.925000e+10,2.77691449e-01,-5.64665847e-01,-4.0235,-63.8130,-6.97426843e-01,-3.42980670e-01,-2.1893
1.950000e+10,2.78804909e-01,-5.63493121e-01,-4.0312,-63.6747,-6.97002851e-01,-3.44862801e-01,-2.1843
1.975000e+10,2.80145853e-01,-5.61505483e-01,-4.0476,-63.4845,-6.96708812e-01,-3.47601387e-01,-2.1736
2.000000e+10,2.81701161e-01,-5.58715260e-01,-4.0725,-63.2430,-6.96527510e-01,-3.51185339e-01,-2.1575
2.025000e+10,2.83449740e-01,-5.55149442e-01,-4.1057,-62.9519,-6.96435577e-01,-3.55588006e-01,-2.1363
2.050000e+10,2.85368269e-01,-5.50835114e-01,-4.1470,-62.6129,-6.96405794e-01,-3.60783311e-01,-2.1102
2.075000e+10,2.87422996e-01,-5.45819566e-01,-4.1961,-62.2292,-6.96408220e-01,-3.66721439e-01,-2.0798
2.100000e+10,2.89580594e-01,-5.40148471e-01,-4.2525,-61.8037,-6.96411280e-01,-3.73355111e-01,-2.0455
2.125000e+10,2.91804554e-01,-5.33875750e-01,-4.3160,-61.3400,-6.96383164e-01,-3.80627475e-01,-2.0078
